State,Measure ID,Score,Start Date,End Date
OR,HAI_2_SIR,0.907,10/01/2021,09/30/2022
OR,HAI_3_SIR,0.851,10/01/2021,09/30/2022
OR,HAI_4_SIR,0.876,10/01/2021,09/30/2022
OR,HAI_5_SIR,0.871,10/01/2021,09/30/2022
OR,HAI_6_SIR,0.577,10/01/2021,09/30/2022
PA,HAI_1_SIR,0.897,10/01/2021,09/30/2022
PA,HAI_2_SIR,0.849,10/01/2021,09/30/2022
PA,HAI_3_SIR,0.889,10/01/2021,09/30/2022
PA,HAI_4_SIR,1.185,10/01/2021,09/30/2022
PA,HAI_5_SIR,1.010,10/01/2021,09/30/2022
PA,HAI_6_SIR,0.597,10/01/2021,09/30/2022
PR,HAI_1_SIR,1.477,10/01/2021,09/30/2022
PR,HAI_2_SIR,0.783,10/01/2021,09/30/2022
PR,HAI_4_SIR,2.708,10/01/2021,09/30/2022
PR,HAI_5_SIR,0.127,10/01/2021,09/30/2022
PR,HAI_6_SIR,0.271,10/01/2021,09/30/2022
RI,HAI_1_SIR,0.861,10/01/2021,09/30/2022
RI,HAI_2_SIR,0.934,10/01/2021,09/30/2022
RI,HAI_3_SIR,0.797,10/01/2021,09/30/2022
RI,HAI_4_SIR,0.225,10/01/2021,09/30/2022
RI,HAI_5_SIR,0.772,10/01/2021,09/30/2022
RI,HAI_6_SIR,0.277,10/01/2021,09/30/2022
SC,HAI_1_SIR,0.949,10/01/2021,09/30/2022
SC,HAI_2_SIR,0.806,10/01/2021,09/30/2022
SC,HAI_3_SIR,0.628,10/01/2021,09/30/2022
SC,HAI_4_SIR,0.845,10/01/2021,09/30/2022
SC,HAI_5_SIR,1.273,10/01/2021,09/30/2022
SC,HAI_6_SIR,0.378,10/01/2021,09/30/2022
SD,HAI_1_SIR,1.406,10/01/2021,09/30/2022
SD,HAI_2_SIR,0.797,10/01/2021,09/30/2022
SD,HAI_3_SIR,0.914,10/01/2021,09/30/2022
SD,HAI_4_SIR,0.859,10/01/2021,09/30/2022
SD,HAI_5_SIR,0.748,10/01/2021,09/30/2022
SD,HAI_6_SIR,0.508,10/01/2021,09/30/2022
TN,HAI_1_SIR,0.774,10/01/2021,09/30/2022
TN,HAI_2_SIR,0.653,10/01/2021,09/30/2022
TN,HAI_3_SIR,0.675,10/01/2021,09/30/2022
